,Posted,Job Title,Company,LINK,Location
408,2022-12-05,Mid/Senior Full Stack .Net Developer (Cluj-Napoca),Banca Transilvania,https://ro.linkedin.com/jobs/view/mid-senior-full-stack-net-developer-cluj-napoca-at-banca-transilvania-3388193894?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=6Ikf6IWNuP4KP3uMD2Bi4Q%3D%3D&position=9&pageNum=16&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
409,2022-12-01,Full Stack Developer,LSEG (London Stock Exchange Group),https://ro.linkedin.com/jobs/view/full-stack-developer-at-lseg-london-stock-exchange-group-3344801230?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=1xLjw2QQ9d%2BHaUu2IOWzvQ%3D%3D&position=10&pageNum=16&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
410,2022-11-28,Full Stack Developer - Mid-level,Yardi Romania,https://ro.linkedin.com/jobs/view/full-stack-developer-mid-level-at-yardi-romania-3378237869?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=D1kfx%2FuWOiSnKfZ5r70aPw%3D%3D&position=11&pageNum=16&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
411,2022-11-29,Full Stack Developer (Java+React),Luxoft,https://ro.linkedin.com/jobs/view/full-stack-developer-java%2Breact-at-luxoft-3380261808?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=9Qmg%2FTprzT0jvAwANxKBgA%3D%3D&position=12&pageNum=16&trk=public_jobs_jserp-result_search-card,Romania
412,2022-12-12,"Lead Web Developer, Totogi (Remote) - $100,000/year USD",Crossover,https://ro.linkedin.com/jobs/view/lead-web-developer-totogi-remote-%24100-000-year-usd-at-crossover-3387695797?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=7nJYOvbfjQybf3cst5VZBA%3D%3D&position=13&pageNum=16&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
413,2022-11-22,Senior Full Stack Developer,Luxoft,https://ro.linkedin.com/jobs/view/senior-full-stack-developer-at-luxoft-3370825622?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=uKsMTEsG4hTVpUy7DLHyMQ%3D%3D&position=14&pageNum=16&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
414,2022-11-26,PHP Web Developer (middle level),Complete Business Management Solutions,https://ro.linkedin.com/jobs/view/php-web-developer-middle-level-at-complete-business-management-solutions-3377375367?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=ZJBpCG2lla%2FmDYDsExOrjQ%3D%3D&position=15&pageNum=16&trk=public_jobs_jserp-result_search-card,Cluj-Napoca Metropolitan Area
415,2022-12-10,Full Stack Developer,Arcadis,https://ro.linkedin.com/jobs/view/full-stack-developer-at-arcadis-3271914101?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=8VaNLM2%2Bo7jgC%2BPJuW%2Bp8w%3D%3D&position=16&pageNum=16&trk=public_jobs_jserp-result_search-card,"Iaşi, Iaşi, Romania"
416,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388067130?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=BshwjsqXv7ZeaiRxLJTUlQ%3D%3D&position=17&pageNum=16&trk=public_jobs_jserp-result_search-card,"Sălaj, Romania"
417,2022-12-07,Backend Engineer (Runtime/Wasm),"Docker, Inc",https://ro.linkedin.com/jobs/view/backend-engineer-runtime-wasm-at-docker-inc-3379864610?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=ZBmU3yujYJ1YkJhXi0I9Tw%3D%3D&position=18&pageNum=16&trk=public_jobs_jserp-result_search-card,Romania
