,Posted,Job Title,Company,LINK,Location
50,2022-11-15,Full Stack Developer (.NET + React) – REMOTE,Pentalog,https://ro.linkedin.com/jobs/view/full-stack-developer-net-%2B-react-%E2%80%93-remote-at-pentalog-3391075000?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=tbbgqctfRzACPY8%2F1qhpzQ%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card,Cluj-Napoca Metropolitan Area
51,2022-11-30,Full stack developer - remote,BAS CUSTOM SOFTWARE SRL,https://ro.linkedin.com/jobs/view/full-stack-developer-remote-at-bas-custom-software-srl-3377862252?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=c2h2Uh%2B5fucujslBTcTasA%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card,Romania
52,2022-11-29,Full Stack Web Developer,LSEG (London Stock Exchange Group),https://ro.linkedin.com/jobs/view/full-stack-web-developer-at-lseg-london-stock-exchange-group-3196124687?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=ovXJAqVy18j8j0JUK%2B4Tdw%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
53,2022-12-01,Full-stack Software Developer,Brillio,https://ro.linkedin.com/jobs/view/full-stack-software-developer-at-brillio-3380739735?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=ENEyDFRDbj4Bv8%2BXWOy8Ag%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
54,2022-11-18,REACT NATIVE DEVELOPER,Talent Matchmakers,https://ro.linkedin.com/jobs/view/react-native-developer-at-talent-matchmakers-3367306520?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=x5WYUPkAiXWlgGv7ApYo8w%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card,Romania
55,2022-11-28,Frontend Engineer (Supply Chain),"Docker, Inc",https://ro.linkedin.com/jobs/view/frontend-engineer-supply-chain-at-docker-inc-3371604416?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=5aXO%2FxCt3HfW0G8pjlnnSg%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card,Romania
56,2022-11-22,React Native Developer,Neobyte Solutions,https://ro.linkedin.com/jobs/view/react-native-developer-at-neobyte-solutions-3370819223?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=z3bbXrSnreFyrDri%2F%2FcLBw%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card,"Oradea, Bihor, Romania"
57,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388068020?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=9eidJJUao8g%2BrwFsLjoC1Q%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card,"Botoşani, Botoşani, Romania"
58,2022-11-24,#7636 - Full-Stack .Net Developer (Fully-remote),Qualitest,https://ro.linkedin.com/jobs/view/%237636-full-stack-net-developer-fully-remote-at-qualitest-3388580065?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=abxWcznOySDJB3OPbsvy3Q%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
59,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388063597?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=CVpuf50ZCFqjJ4VkEpZjtA%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card,"Covasna, Romania"
60,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388062724?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=LgdRqgKRFTfBTGlDXXqRCA%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card,"Satu Mare, Romania"
61,2022-11-17,Full Stack Developer (PHP & React JS),REI Development Services,https://ro.linkedin.com/jobs/view/full-stack-developer-php-react-js-at-rei-development-services-3364095821?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=3CzM7Qgwj1BWdWuK36JwUA%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card,Bucharest Metropolitan Area
62,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388062727?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=DUAjKs0DAXc%2F04Vriy8MCg%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card,"Bogata, Mureş, Romania"
63,2022-11-29,Senior JavaScript Developer with React,Luxoft,https://ro.linkedin.com/jobs/view/senior-javascript-developer-with-react-at-luxoft-3380538751?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=T46aTtEsJsEuGrW9axAkkA%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card,Romania
64,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388063593?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=BzFyY9CzAIZVREyuO3kRCw%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card,"Suceava, Romania"
65,2022-12-05,Full Stack Developer,WPP,https://ro.linkedin.com/jobs/view/full-stack-developer-at-wpp-3386043688?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=rVkaYfTRobPi3s474Kwz%2BQ%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
